Country,id,Global_Score,Global_Rank,Percentage_missing_values,Regional_Score,Population_in_2019,GDP_per_capita_in_2017,Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10,Goal_11,Goal_12,Goal_13,Goal_14,Goal_15,Goal_16,Goal_17,Regional_Score_Goal_1,Regional_Score_Goal_2,Regional_Score_Goal_3,Regional_Score_Goal_4,Regional_Score_Goal_5,Regional_Score_Goal_6,Regional_Score_Goal_7,Regional_Score_Goal_8,Regional_Score_Goal_9,Regional_Score_Goal_10,Regional_Score_Goal_11,Regional_Score_Goal_12,Regional_Score_Goal_13,Regional_Score_Goal_14,Regional_Score_Goal_15,Regional_Score_Goal_16,Regional_Score_Goal_17
Algeria,DZA,71.1,53.0,0.0,65.9,42679018,13900.15811,97.84,52.66,75.48,85.93,51.11,63.56,85.91,69.69,29.83,88.74,66.61,86.54,94.28,41.87,63.23,72.40,83.03,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Ecuador,ECU,72.3,46.0,1.2,67.1,17100444,10554.63417,88.15,47.76,76.99,93.18,76.77,73.45,90.16,75.36,27.01,35.46,90.45,84.83,93.89,70.20,60.05,64.43,80.81,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
"Egypt, Arab Rep.",EGY,66.2,92.0,3.6,65.9,101168745,10551.29965,90.41,55.97,68.86,82.93,46.13,62.34,92.78,63.58,32.07,37.39,59.65,82.87,97.83,56.56,68.41,70.23,57.49,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Eritrea,ERI,,,,53.8,5309659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,77.8,21.0,1.2,77.7,46441049,34272.36038,98.06,56.17,95.44,95.36,82.73,88.07,94.72,75.20,68.05,69.16,89.05,53.41,93.34,59.42,65.41,80.59,59.09,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Estonia,EST,80.2,10.0,0.0,77.7,1303798,29481.25181,99.68,58.34,88.82,95.27,75.29,89.72,88.94,84.81,61.50,72.25,90.30,58.70,85.03,81.30,90.51,87.76,55.53,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Ethiopia,ETH,53.2,135.0,2.5,53.8,110135635,1729.926639,32.53,48.59,44.63,33.50,53.31,39.43,40.68,71.42,9.96,67.32,60.56,98.03,95.71,,56.66,51.62,46.77,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Finland,FIN,82.8,3.0,2.4,77.7,5561389,40585.72103,99.84,58.22,96.23,98.89,89.24,92.60,96.39,82.53,83.66,97.86,88.31,48.72,70.98,55.47,82.13,92.94,73.96,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Fiji,FJI,70.1,62.0,16.7,60.5,918757,8702.975322,90.98,55.81,73.90,95.07,57.60,76.62,68.42,79.88,27.38,74.08,95.60,83.62,70.07,50.60,38.71,86.82,66.02,59.64,44.58,62.93,70.37,46.24,60.55,38.02,76.92,16.56,68.61,83.24,86.85,76.13,50.64,48.86,74.83,63.88
France,FRA,81.5,4.0,1.2,77.7,65480710,38605.6709,99.54,66.03,94.26,97.39,86.51,87.91,96.96,78.07,73.63,85.65,87.04,53.41,86.36,64.23,76.67,76.60,75.14,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
